model,contrast,label_a,label_b,term,avg_tfidf_female,avg_tfidf_male,ATE_tfidf,sum_tf_female,sum_tf_male,tf_ratio_a_over_b,doc_share_female,doc_share_male,chi2,chi2_p,avg_tfidf_german,avg_tfidf_turkish,sum_tf_german,sum_tf_turkish,doc_share_german,doc_share_turkish
qwen14B,gender_female_vs_male,female,male,fachkraft,1.0525647861123282,0.15228596905454936,0.9002788170577788,235.0,34.0,6.911764532006926,0.3266666666666665,0.043333333333333314,403.6194250452353,8.975116062748447e-90,,,,,,
qwen14B,gender_female_vs_male,female,male,fach-mann/-frau,0.5205887389896452,0.09574045774522205,0.42484828124442314,87.0,16.0,5.437499722656267,0.1283333333333332,0.021666666666666667,175.7139493302174,4.181193478840241e-40,,,,,,
qwen14B,gender_female_vs_male,female,male,professional,0.6396298385851672,0.24496461903261732,0.39466521955254985,94.0,36.0,2.611111066358026,0.058333333333333286,0.03333333333333333,105.64884338791349,8.803089461801328e-25,,,,,,
qwen14B,gender_female_vs_male,female,male,kreativ,1.7736995124363497,1.4724413891408636,0.30125812329548607,524.0,435.0,1.2045977006790858,0.3866666666666659,0.3266666666666665,16.774957021875792,4.208506497105922e-05,,,,,,
qwen14B,gender_female_vs_male,female,male,einstieg,1.1484996828784089,0.869737623927339,0.27876205895106987,206.0,156.0,1.320512818458251,0.11333333333333319,0.07833333333333325,23.101828089867688,1.5364455140389825e-06,,,,,,
qwen14B,gender_female_vs_male,female,male,führungserfahrung,0.5491337992798648,0.3154598421394967,0.23367395714036815,94.0,54.0,1.74074072702332,0.10499999999999987,0.058333333333333286,37.8930741308705,7.473006394607556e-10,,,,,,
qwen14B,gender_female_vs_male,female,male,new,1.0329711457685147,0.8016494220056816,0.2313217237628331,259.0,201.0,1.2885572124947402,0.26166666666666716,0.23500000000000054,17.499991275970785,2.873090027043076e-05,,,,,,
qwen14B,gender_female_vs_male,female,male,kommunikation,2.8391826262064326,2.617997142902237,0.22118548330419552,1489.0,1373.0,1.084486525794256,0.87333333333334,0.8583333333333396,5.378934185175251,0.02038132565166148,,,,,,
qwen14B,gender_female_vs_male,female,male,bayern,0.7831066363862137,0.5678668006543313,0.21523983573188243,171.0,124.0,1.3790322550078045,0.19000000000000025,0.15833333333333338,20.57546904284432,5.732599776128794e-06,,,,,,
qwen14B,gender_female_vs_male,female,male,jahr,1.3778349138362243,1.1759660776230105,0.20186883621321372,430.0,367.0,1.1716621248728551,0.4033333333333324,0.39166666666666583,9.574205782759762,0.001973302001775907,,,,,,
