model,contrast,label_a,label_b,term,avg_tfidf_female,avg_tfidf_male,ATE_tfidf,sum_tf_female,sum_tf_male,tf_ratio_a_over_b,doc_share_female,doc_share_male,chi2,chi2_p,avg_tfidf_german,avg_tfidf_turkish,sum_tf_german,sum_tf_turkish,doc_share_german,doc_share_turkish
qwen4B,gender_female_vs_male,female,male,fachkraft,1.1483731840235918,0.08272179715424162,1.0656513868693502,236.0,17.0,13.882352183391047,0.2733333333333337,0.02,553.4647914412342,2.2195322870037287e-122,,,,,,
qwen4B,gender_female_vs_male,female,male,marketing,4.98863956543041,4.536363449409792,0.45227611602061835,1467.0,1334.0,1.0997001498502996,0.3499999999999996,0.3566666666666662,12.885267425364049,0.00033117881766126883,,,,,,
qwen4B,gender_female_vs_male,female,male,fokus,1.5192269823293119,1.1816209862561315,0.3376059960731803,549.0,427.0,1.2857142850451657,0.5499999999999992,0.48333333333333156,25.320449705488237,4.855338022673277e-07,,,,,,
qwen4B,gender_female_vs_male,female,male,motiviert,0.6245636023656542,0.3097429247504463,0.31482067761520793,123.0,61.0,2.0163934259607634,0.16666666666666677,0.09166666666666656,63.648528300465614,1.4872005071304087e-15,,,,,,
qwen4B,gender_female_vs_male,female,male,hintergrund,0.6256795725681527,0.38852683135280397,0.23715274121534868,124.0,77.0,1.6103896024624726,0.1566666666666667,0.10666666666666653,33.2721756331983,8.012085756624424e-09,,,,,,
qwen4B,gender_female_vs_male,female,male,sozial,1.9135932993998055,1.6859310740692826,0.22766222533052294,622.0,548.0,1.135036496103948,0.43666666666666537,0.4216666666666655,8.639489576645577,0.00328953579974178,,,,,,
qwen4B,gender_female_vs_male,female,male,international,4.009495562354895,3.7823680680712055,0.22712749428368983,1730.0,1632.0,1.0600490195710484,0.6833333333333356,0.6700000000000019,3.972366646008611,0.046252721719394596,,,,,,
qwen4B,gender_female_vs_male,female,male,controlling,0.6954526556878585,0.471493325890074,0.22395932979778455,118.0,80.0,1.4749999940625,0.07833333333333325,0.07999999999999992,25.789256158532766,3.808023162106755e-07,,,,,,
qwen4B,gender_female_vs_male,female,male,nachhaltigkeit,2.536144866151074,2.318853681966776,0.21729118418429794,782.0,715.0,1.093706293575236,0.3999999999999991,0.376666666666666,5.835073883907052,0.015709749957474126,,,,,,
qwen4B,gender_female_vs_male,female,male,senior,1.1513434906464253,0.9392539002641893,0.21208959038223596,266.0,217.0,1.2258064505723205,0.20666666666666703,0.19833333333333364,12.909801153701304,0.0003268660160557466,,,,,,
qwen4B,gender_female_vs_male,female,male,professionell,0.9427314957950516,0.741141113046424,0.2015903827486275,159.0,125.0,1.271999997824,0.07666666666666659,0.07833333333333325,14.480435943915456,0.0001416228064934861,,,,,,
qwen4B,gender_female_vs_male,female,male,finanz,1.1394026540664994,0.9386062847023214,0.200796369364178,244.0,201.0,1.2139303471943763,0.17000000000000012,0.16000000000000006,11.6416771451591,0.000644904310035116,,,,,,
qwen4B,gender_female_vs_male,female,male,erfahren,1.2918754882201655,1.0935612685372453,0.19831421968292018,456.0,386.0,1.181347149789256,0.5299999999999987,0.46333333333333176,9.892158226463714,0.00165984580307833,,,,,,
qwen4B,gender_female_vs_male,female,male,fachperson,0.2328044815645474,0.03880074692742455,0.19400373463712284,30.0,5.0,5.9999990000002,0.043333333333333314,0.008333333333333333,83.14445770162398,7.627090639458209e-20,,,,,,
