model,contrast,label_a,label_b,term,avg_tfidf_female,avg_tfidf_male,ATE_tfidf,sum_tf_female,sum_tf_male,tf_ratio_a_over_b,doc_share_female,doc_share_male,chi2,chi2_p,avg_tfidf_german,avg_tfidf_turkish,sum_tf_german,sum_tf_turkish,doc_share_german,doc_share_turkish
qwen14B_topk64,gender_female_vs_male,female,male,fachkraft,1.0670760667694468,0.24151927437168588,0.8255567923977609,243.0,55.0,4.418181756033059,0.31,0.07999999999999992,312.492638196201,6.25499743543886e-70,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,fach-mann/-frau,0.5313159501154116,0.11550346741639404,0.4158124826990175,92.0,20.0,4.599999820000009,0.13999999999999993,0.030000000000000002,160.38481475533575,9.323340817038303e-37,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,sprache,2.640245904071267,2.2902663303608644,0.34997957371040256,943.0,818.0,1.152811735754509,0.5366666666666655,0.47666666666666496,14.90543329260665,0.00011303695593182421,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,kenntnis,1.5587591942304595,1.215161737437724,0.34359745679273557,372.0,290.0,1.2827586197146255,0.24333333333333393,0.19666666666666696,25.53624603353869,4.3414983228389017e-07,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,interkulturell,2.1576084961307878,1.8640013474687955,0.2936071486619922,801.0,692.0,1.15751445063943,0.5633333333333328,0.516666666666665,12.861291039849082,0.0003354490860193574,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,kommunikation,2.854131731724686,2.58771998463165,0.26641174709303606,1457.0,1321.0,1.1029523087789914,0.8583333333333396,0.8200000000000054,7.825485443769656,0.005151460893564273,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,diversity,0.9547585486290251,0.7108800063161763,0.24387854231284878,184.0,137.0,1.3430656909265277,0.13333333333333322,0.1083333333333332,21.42484390411942,3.6797217634081737e-06,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,teamarbeit,1.2131374888868438,0.9710932302868253,0.24204425860001855,416.0,333.0,1.249249248500753,0.516666666666665,0.4283333333333321,16.093196366195908,6.0300284234552414e-05,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,inclusion,0.8692593605522608,0.639945541510867,0.2293138190413938,163.0,120.0,1.3583333303472223,0.11999999999999984,0.10166666666666654,20.905641453243767,4.824715823935425e-06,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,dokumentation,0.448712838472497,0.23855619260563093,0.21015664586686605,79.0,42.0,1.8809523599773248,0.11666666666666652,0.06333333333333328,38.55766560532555,5.315956796548286e-10,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,erfahrene,0.2157407986397294,0.007990399949619606,0.20775039869010978,27.0,1.0,26.999974000026004,0.043333333333333314,0.0016666666666666668,115.74665069877547,5.400645475025264e-27,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,erwachsenenbildung,2.116653470361891,1.9164294934357657,0.20022397692612537,518.0,469.0,1.1044776117175317,0.2383333333333339,0.2300000000000005,5.964118461629301,0.01459989809390471,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,erstellung,1.6465295090346495,1.4489459679504941,0.19758354108415532,725.0,638.0,1.1363636361499003,0.7333333333333367,0.658333333333335,7.567029233010203,0.00594456861309341,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,organisation,1.7458362026535903,1.5490871869479785,0.19674901570561176,701.0,622.0,1.1270096460980552,0.6316666666666677,0.5883333333333334,7.0490577055525225,0.007930696046928523,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,bereich,2.9081055580331503,2.7170756648715324,0.1910298931616179,1568.0,1465.0,1.0703071671875037,0.9016666666666739,0.8850000000000069,3.892399405667012,0.048505079606758414,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,denken,1.1626161114012314,0.9727332507998822,0.1898828606013493,349.0,292.0,1.1952054787835429,0.376666666666666,0.3599999999999995,10.131035620227818,0.001457934705051877,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,verwaltungsassistent,0.35074221588826676,0.1686260653308976,0.18211615055736916,52.0,25.0,2.0799999568000014,0.05999999999999995,0.034999999999999996,38.31534596142056,6.018746709236827e-10,,,,,,
